???Thai Poly Acrylic PCL (TPA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.45,7.50,5.25,6.85,"116,988"
12/31/2020,5.45,6.45,4.04,5.45,???
12/31/2019,6.50,6.95,4.50,5.45,???
12/31/2018,7.40,7.85,5.65,6.50,???
12/29/2017,6.80,9.80,6.65,7.40,"230,925"
12/30/2016,7.00,8.30,5.50,6.80,"239,113"
12/31/2015,6.10,13.60,5.00,7.00,"800,361"
12/31/2014,6.95,7.40,5.50,6.10,"12,308"
12/31/2013,8.85,10.55,6.90,6.95,"25,051"
12/31/2012,6.00,9.30,5.90,8.85,"36,664"
12/30/2011,6.20,6.50,5.20,6.00,"15,859"
