???Thai Plaspac PCL (TPAC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,12.40,19.60,10.90,18.40,"1,063,709"
12/31/2020,10.00,14.20,5.90,12.40,???
12/31/2019,10.30,13.50,9.00,10.00,???
12/31/2018,11.60,16.80,9.95,10.30,???
12/29/2017,7.25,15.80,6.85,11.60,"903,002"
12/30/2016,8.30,9.45,6.50,7.25,"523,210"
12/31/2015,5.50,10.60,5.40,8.30,"987,082"
12/31/2014,6.40,7.10,5.40,5.50,"60,224"
12/31/2013,5.20,9.50,5.00,6.40,"303,523"
12/31/2012,4.60,5.55,4.50,5.20,"29,993"
12/30/2011,5.70,6.10,4.40,4.60,"84,635"
