???Thai Polycons PCL (TPOLY) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.34,2.80,2.14,2.50,"960,439"
12/31/2020,2.58,2.80,1.03,2.34,???
12/31/2019,2.60,3.46,2.48,2.58,???
12/31/2018,4.52,4.60,2.42,2.60,???
12/29/2017,3.84,6.00,3.50,4.52,"6,466,745"
12/30/2016,3.46,4.18,2.40,3.84,"5,108,466"
12/31/2015,3.66,8.68,3.34,3.46,"5,464,479"
12/31/2014,2.18,4.40,1.54,3.66,"8,596,667"
12/31/2013,1.82,3.91,1.82,2.18,"6,396,285"
12/31/2012,1.69,2.02,1.52,1.82,"1,247,290"
12/30/2011,2.04,2.28,1.40,1.69,"3,546,035"
