???Thai Rayon PCL (TR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,28.00,35.00,25.50,32.00,"36,722"
12/31/2020,28.75,31.50,20.00,28.00,"12,558"
12/31/2019,42.50,43.00,27.00,28.75,???
12/31/2018,55.00,61.00,41.25,42.50,???
12/29/2017,41.00,61.50,40.50,55.00,"63,252"
12/30/2016,31.00,54.50,29.75,41.00,"32,861"
12/31/2015,26.00,44.00,21.50,31.00,"17,042"
12/31/2014,28.75,36.50,25.75,26.00,"13,510"
12/31/2013,50.50,53.75,28.25,28.75,"18,422"
12/31/2012,71.00,80.00,50.00,50.50,"16,406"
12/30/2011,75.50,97.00,60.00,71.00,"22,772"
