???Triton Holding PCL (TRITN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.36,0.46,0.25,0.31,"109,781,504"
12/31/2020,0.29,0.39,0.11,0.36,???
12/31/2019,0.38,0.43,0.27,0.29,???
12/31/2018,0.20,0.50,0.19,0.38,???
12/29/2017,0.48,0.57,0.19,0.20,"18,302,139"
12/30/2016,0.60,0.69,0.34,0.48,"37,925,012"
12/31/2015,0.33,0.93,0.31,0.60,"83,333,097"
12/31/2014,0.33,0.45,0.27,0.33,"107,818,673"
12/31/2013,0.50,1.00,0.32,0.33,"76,432,731"
12/31/2012,0.10,0.65,0.08,0.50,"28,947,248"
12/30/2011,0.14,0.36,0.10,0.10,"14,190,864"
