???Thai Steel Cable PCL (TSC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,11.70,14.90,9.60,12.10,"39,877"
12/31/2020,12.20,13.00,8.00,11.70,???
12/31/2019,13.30,16.70,8.30,12.20,???
12/31/2018,13.00,14.00,9.00,13.30,???
12/29/2017,11.00,13.10,10.30,13.00,"8,927"
12/30/2016,13.00,13.90,9.40,11.00,"4,119"
12/31/2015,15.70,15.70,10.90,13.00,"8,707"
12/31/2014,15.90,18.10,12.80,15.70,"11,476"
12/31/2013,12.50,18.20,12.30,15.90,"104,079"
12/31/2012,10.40,14.10,9.55,12.50,"32,720"
12/30/2011,11.80,13.00,8.70,10.40,"54,229"
