???The Thai Setakij Insurance PCL (TSI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.28,0.41,0.25,0.38,"2,293,824"
12/31/2020,0.50,0.53,0.26,0.28,???
12/31/2019,0.53,0.80,0.39,0.50,???
12/31/2018,0.68,0.74,0.36,0.53,???
12/29/2017,0.58,0.92,0.41,0.68,"6,411,190"
12/30/2016,0.48,0.64,0.21,0.58,"4,183,251"
12/31/2015,0.41,1.76,0.39,0.48,"9,733,023"
12/31/2014,0.35,0.51,0.27,0.41,"97,512"
12/31/2013,0.37,0.86,0.28,0.35,"289,484"
12/31/2012,0.44,0.76,0.35,0.37,"281,303"
12/30/2011,0.49,0.54,0.36,0.44,"7,244"
