???Tata Steel Thailand PCL (TSTH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.67,2.44,0.62,2.06,"95,921,996"
12/31/2020,0.50,0.74,0.18,0.67,???
12/31/2019,0.66,0.77,0.48,0.50,???
12/31/2018,1.01,1.02,0.63,0.66,???
12/29/2017,0.98,1.22,0.79,1.01,"10,438,102"
12/30/2016,0.49,1.01,0.46,0.98,"8,359,369"
12/31/2015,0.75,0.93,0.44,0.49,"5,501,652"
12/31/2014,0.72,1.06,0.64,0.75,"8,779,171"
12/31/2013,1.10,1.31,0.68,0.72,"11,273,515"
12/31/2012,0.83,1.28,0.75,1.10,"7,995,605"
12/30/2011,1.65,1.67,0.72,0.83,"4,230,826"
