???Thai Textile Industry PCL (TTI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,18.50,31.25,18.00,23.00,"0,356"
12/31/2020,18.50,23.00,16.10,18.50,"0,156"
12/31/2019,27.00,31.00,15.00,18.50,"0,190"
12/31/2018,29.00,36.00,23.00,27.00,"0,055"
12/29/2017,26.00,34.50,25.25,29.00,"1,233"
12/30/2016,26.00,30.00,26.00,26.00,"1,200"
12/31/2015,30.00,30.00,25.00,26.00,"0,694"
12/31/2014,21.60,30.00,20.00,30.00,"0,644"
12/31/2013,23.10,30.00,16.60,21.60,"0,544"
12/31/2012,25.00,27.00,21.50,23.10,"1,474"
12/30/2011,23.00,27.50,21.00,25.00,"11,861"
