???TTW PCL (TTW) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,12.40,12.50,11.40,11.70,"5,312,434"
12/31/2020,13.80,14.70,11.00,12.40,???
12/31/2019,12.40,14.70,11.90,13.80,???
12/31/2018,12.60,13.90,11.50,12.40,???
12/29/2017,10.70,12.80,10.30,12.60,"4,583,571"
12/30/2016,10.60,11.80,9.85,10.70,"3,156,517"
12/31/2015,11.60,12.50,10.50,10.60,"3,232,385"
12/31/2014,10.00,12.80,9.10,11.60,"3,353,150"
12/31/2013,9.20,11.60,9.00,10.00,"4,363,429"
12/31/2012,5.05,9.70,5.00,9.20,"3,907,803"
12/30/2011,6.40,6.50,4.74,5.05,"3,816,382"
