???TV Direct PLC (TVD) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.08,1.57,1.06,1.16,"17,213,347"
12/31/2020,0.99,1.35,0.44,1.08,???
12/31/2019,1.46,1.69,0.96,0.99,???
12/31/2018,1.68,2.22,1.21,1.46,???
12/29/2017,2.20,2.94,1.23,1.68,"3,446,636"
12/30/2016,1.18,3.46,1.03,2.20,"6,784,181"
12/31/2015,2.74,3.12,1.02,1.18,"2,362,576"
12/31/2014,2.13,4.09,2.04,2.74,"5,206,647"
12/31/2013,3.98,5.50,2.13,2.13,"5,078,509"
12/31/2012,3.25,5.26,2.71,3.98,"15,056,415"
08/23/2012,3.25,3.59,3.05,3.05,"290,115,022"
