???Thai Vegetable Oil PCL (TVO) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,33.75,37.50,30.00,34.50,"5,023,427"
12/31/2020,27.50,36.00,20.60,33.75,???
12/31/2019,26.50,30.00,25.00,27.50,???
12/31/2018,29.75,37.25,26.00,26.50,???
12/29/2017,40.50,42.50,25.50,29.75,"2,044,165"
12/30/2016,22.10,43.25,22.00,40.50,"1,463,196"
12/31/2015,21.30,29.00,21.10,22.10,"1,228,316"
12/31/2014,18.50,24.20,18.30,21.30,"815,535"
12/31/2013,24.10,26.75,16.80,18.50,"1,368,435"
12/31/2012,17.30,27.75,17.30,24.10,"3,088,839"
12/30/2011,33.00,34.25,15.90,17.30,"2,293,301"
