???Thai Wire Products PCL (TWP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.02,5.05,1.99,3.96,"197,700"
12/31/2020,2.16,2.50,1.50,2.02,???
12/31/2019,3.90,4.00,2.00,2.16,???
12/31/2018,4.16,5.05,3.68,3.90,???
12/29/2017,5.70,6.30,4.00,4.16,"17,000"
12/30/2016,3.88,6.30,3.50,5.70,"716,900"
12/31/2015,6.45,7.73,3.80,3.88,"0,000"
12/31/2014,4.50,9.30,4.23,6.45,"0,000"
12/31/2013,2.16,6.75,2.15,4.50,"0,000"
12/31/2012,1.35,2.85,1.22,2.16,"0,000"
12/30/2011,1.63,1.75,1.06,1.35,"28,000"
