???Thai Wah PCL (TWPC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.86,6.00,3.80,5.70,"2,035,264"
12/31/2020,4.18,4.64,2.70,3.86,???
12/31/2019,8.30,8.60,4.00,4.18,???
12/31/2018,9.35,12.80,7.70,8.30,???
12/29/2017,9.35,11.80,8.85,9.35,"2,842,857"
12/30/2016,6.80,9.50,5.90,9.35,"5,917,252"
12/31/2015,3.95,7.50,3.65,6.80,"3,468,201"
12/31/2014,3.42,6.36,3.34,3.95,"660,881"
12/31/2013,2.81,4.13,2.79,3.42,"680,867"
12/31/2012,2.53,3.39,2.53,2.81,"128,680"
12/30/2011,2.17,2.66,2.08,2.53,"101,457"
