???UBIS (Asia) PCL (UBIS) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.40,8.15,5.30,6.90,"770,833"
12/31/2020,5.55,6.25,3.98,5.40,???
12/31/2019,5.10,6.65,5.00,5.55,???
12/31/2018,5.70,5.70,4.52,5.10,???
12/29/2017,5.85,9.10,5.35,5.70,"1,171,914"
12/30/2016,5.45,7.40,4.92,5.85,"474,163"
12/31/2015,5.50,11.00,4.88,5.45,"1,268,391"
12/31/2014,5.75,7.25,4.90,5.50,"15,402"
12/31/2013,4.38,6.70,4.21,5.75,"17,759"
12/31/2012,3.42,4.87,3.33,4.38,"28,417"
12/30/2011,4.33,4.50,2.70,3.42,"29,352"
