???Unimit Engineering PCL (UEC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.03,1.76,0.96,1.69,"1,372,905"
12/31/2020,0.71,1.13,0.42,1.03,???
12/31/2019,1.26,1.62,0.67,0.71,???
12/31/2018,2.22,2.66,1.10,1.26,???
12/29/2017,2.58,2.78,2.16,2.22,"609,946"
12/30/2016,2.78,3.12,2.38,2.58,"819,687"
12/31/2015,3.78,4.78,2.58,2.78,"1,955,062"
12/31/2014,3.48,4.50,3.16,3.78,"2,049,541"
12/31/2013,3.94,6.10,3.32,3.48,"1,713,823"
12/31/2012,2.92,4.48,2.88,3.94,"2,729,946"
12/30/2011,3.22,3.62,2.10,2.92,"1,752,717"
