???Union Petrochemical PCL (UKEM) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.70,1.32,0.68,1.18,"36,660,904"
12/31/2020,0.40,0.79,0.31,0.70,???
12/31/2019,0.63,0.89,0.34,0.40,???
12/31/2018,1.24,1.44,0.61,0.63,???
12/29/2017,0.91,1.65,0.91,1.24,"36,568,607"
12/30/2016,0.59,1.01,0.55,0.91,"9,971,500"
12/31/2015,0.88,1.09,0.55,0.59,"4,131,619"
12/31/2014,0.75,1.25,0.67,0.88,"8,850,957"
12/31/2013,1.41,1.68,0.70,0.75,"6,372,387"
12/31/2012,1.27,1.97,1.27,1.41,"13,456,426"
12/30/2011,0.67,2.24,0.60,1.27,"36,450,146"
