???Uob Kay Hian Securities (Thailand) PCL (UOBKH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.76,8.00,3.52,6.20,"1,628,181"
12/31/2020,2.98,3.80,2.00,3.76,???
12/31/2019,3.72,3.90,2.84,2.98,???
12/31/2018,3.96,4.42,3.64,3.72,"34,306"
12/29/2017,3.80,4.24,3.72,3.96,"51,529"
12/30/2016,3.36,3.86,3.20,3.80,"50,262"
12/31/2015,3.72,4.40,3.36,3.36,"164,676"
12/31/2014,3.58,4.12,3.40,3.72,"245,431"
12/31/2013,3.40,6.35,2.98,3.58,"2,029,623"
12/31/2012,3.50,4.72,3.06,3.40,"28,731"
12/30/2011,2.46,4.00,2.20,3.50,"160,939"
