???United Palm Oil Industry PCL (UPOIC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,4.26,6.90,4.20,6.15,"162,726"
12/31/2020,3.50,4.54,2.00,4.26,???
12/31/2019,4.36,5.95,2.94,3.50,???
12/31/2018,4.96,5.75,3.52,4.36,"16,181"
12/29/2017,7.15,7.95,4.78,4.96,"120,125"
12/30/2016,4.70,7.80,4.32,7.15,"138,508"
12/31/2015,9.95,10.30,4.40,4.70,"38,831"
12/31/2014,9.95,11.50,9.50,9.95,"86,024"
12/31/2013,11.30,12.20,9.25,9.95,"100,641"
12/31/2012,7.15,12.50,7.10,11.30,"547,240"
12/30/2011,7.75,8.25,6.15,7.15,"81,208"
