???Union Textile Industries PCL (UT) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,15.30,18.40,14.70,17.00,"0,933"
12/31/2020,14.50,17.50,10.30,15.30,???
12/31/2019,14.00,17.00,11.00,14.50,"0,637"
12/31/2018,13.80,14.70,12.40,14.00,"0,519"
12/29/2017,13.20,13.80,12.80,13.80,"0,421"
12/30/2016,13.50,14.00,10.00,13.20,"1,462"
12/31/2015,12.50,18.70,12.00,13.50,"17,148"
12/31/2014,12.20,18.20,10.00,12.50,"6,458"
12/31/2013,13.30,13.70,10.90,12.20,"2,456"
12/31/2012,17.40,18.60,12.80,13.30,"54,018"
12/30/2011,15.60,19.30,14.30,17.40,"37,664"
