???United Paper PCL (UTP) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,13.00,23.30,12.70,21.60,"4,946,840"
12/31/2020,9.50,15.80,5.30,13.00,???
12/31/2019,9.50,11.90,9.10,9.50,???
12/31/2018,9.15,12.60,8.80,9.50,???
12/29/2017,6.20,9.80,6.10,9.15,"5,569,366"
12/30/2016,3.38,6.50,3.18,6.20,"5,105,576"
12/31/2015,4.36,5.45,3.16,3.38,"1,659,652"
12/31/2014,2.62,6.75,2.40,4.36,"8,975,902"
12/31/2013,1.65,4.24,1.62,2.62,"16,529,143"
12/31/2012,1.06,1.85,1.05,1.65,"4,610,618"
12/30/2011,1.73,1.76,0.86,1.06,"1,213,543"
