???Univentures PCL (UV) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.94,4.26,2.88,4.06,"10,349,831"
12/31/2020,6.45,6.65,2.02,2.94,???
12/31/2019,6.10,7.70,5.15,6.45,???
12/31/2018,9.05,11.40,5.85,6.10,???
12/29/2017,6.25,13.50,6.25,9.05,"19,359,719"
12/30/2016,6.15,7.15,4.80,6.25,"2,439,989"
12/31/2015,8.25,10.50,5.30,6.15,"4,740,313"
12/31/2014,6.90,11.80,5.75,8.25,"14,482,301"
12/31/2013,11.70,18.30,5.40,6.90,"17,878,395"
12/31/2012,2.30,12.10,2.30,11.70,"18,809,128"
12/30/2011,2.66,3.26,2.00,2.30,"1,662,748"
