???Univanich Palm Oil PCL (UVAN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,5.80,7.35,4.94,6.75,"587,001"
12/31/2020,5.35,5.85,2.86,5.80,???
12/31/2019,5.40,5.95,5.05,5.35,???
12/31/2018,8.25,9.40,5.10,5.40,???
12/29/2017,7.60,9.00,6.60,8.25,"1,780,027"
12/30/2016,7.70,8.15,5.00,7.60,"473,335"
12/31/2015,10.60,11.00,7.60,7.70,"33,202"
12/31/2014,10.60,11.40,9.70,10.60,"59,553"
12/31/2013,9.53,15.00,9.45,10.60,"235,761"
12/31/2012,8.35,10.75,8.30,9.53,"237,286"
12/30/2011,9.10,9.25,7.43,8.35,"138,870"
