???Ua Withya PLC (UWC) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.03,0.10,0.02,0.09,"114,327,024"
12/31/2020,0.02,0.05,0.01,0.03,???
12/31/2019,0.05,0.06,0.02,0.02,???
12/31/2018,0.07,0.08,0.04,0.05,???
12/29/2017,0.13,0.15,0.05,0.07,"35,968,903"
12/30/2016,0.16,0.18,0.11,0.13,"63,514,111"
12/31/2015,1.43,2.34,0.12,0.16,"101,545,491"
12/31/2014,0.09,1.46,0.07,1.43,"78,731,056"
12/31/2013,0.17,0.20,0.09,0.09,"34,094,530"
12/31/2012,0.12,0.25,0.09,0.17,"241,447,669"
07/12/2012,0.12,0.14,0.11,0.13,"7,166,562,658"
