???VGI PCL (VGI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,6.65,7.60,5.55,6.55,"35,572,966"
12/31/2020,9.55,9.90,4.86,6.65,???
12/31/2019,7.80,10.40,7.20,9.55,???
12/31/2018,6.55,8.55,6.00,7.80,???
12/29/2017,5.60,6.60,4.82,6.55,"9,528,809"
12/30/2016,3.68,6.95,3.56,5.60,"13,577,122"
12/31/2015,5.90,6.65,3.44,3.68,"16,787,079"
12/31/2014,4.90,7.30,4.05,5.90,"31,200,267"
12/31/2013,4.04,7.14,3.79,4.90,"21,530,232"
12/31/2012,2.49,4.11,2.38,4.04,"77,510,536"
10/11/2012,2.49,2.64,2.38,2.40,"1,729,622,752"
