???Srivichai Vejvivat PCL (VIH) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,7.30,9.20,7.00,9.15,"1,342,127"
12/31/2020,6.20,7.95,4.70,7.30,???
12/31/2019,6.25,7.05,4.90,6.20,???
12/31/2018,8.15,9.80,6.10,6.25,???
12/29/2017,11.60,13.60,7.10,8.15,"955,689"
12/30/2016,5.45,12.50,5.35,11.60,"2,544,860"
12/31/2015,6.40,7.60,4.90,5.45,"983,012"
12/31/2014,3.23,9.66,3.06,6.40,"4,397,065"
12/31/2013,2.96,4.14,2.72,3.23,"3,638,854"
12/31/2012,2.08,4.78,2.01,2.96,"10,783,279"
05/09/2012,2.08,2.85,2.01,2.85,"300,539,520"
