???Thai Wacoal PCL (WACOAL) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,44.75,47.50,40.00,40.25,"0,917"
12/31/2020,47.00,49.75,40.75,44.75,???
12/31/2019,47.00,55.00,40.00,47.00,???
12/31/2018,47.00,48.50,39.25,47.00,"1,230"
12/29/2017,48.00,51.00,46.00,47.00,"0,757"
12/30/2016,50.00,53.00,40.00,48.00,"0,831"
12/31/2015,49.25,53.50,47.50,50.00,"0,932"
12/31/2014,50.00,53.50,46.50,49.25,"1,204"
12/31/2013,47.25,57.50,46.00,50.00,"3,706"
12/31/2012,47.00,58.00,40.00,47.25,"7,520"
12/30/2011,41.75,48.00,41.00,47.00,"5,728"
