???Wave Entertainment PCL (WAVE) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.61,1.09,0.53,1.03,"21,310,377"
12/31/2020,1.17,1.26,0.58,0.61,???
12/31/2019,1.65,2.10,1.15,1.17,???
12/31/2018,2.58,3.07,1.45,1.65,"70,035"
12/29/2017,3.54,3.80,2.42,2.58,"771,022"
12/30/2016,3.19,4.12,2.50,3.54,"3,186,559"
12/31/2015,6.40,8.22,3.06,3.19,"1,361,897"
12/31/2014,2.98,7.75,2.86,6.40,"571,269"
12/31/2013,1.47,4.15,1.47,2.98,"1,365,725"
12/31/2012,0.85,1.77,0.68,1.47,"3,435,895"
12/30/2011,0.86,1.07,0.64,0.85,"699,722"
