???WHA Corp PCL (WHA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,3.04,3.66,2.92,3.32,"108,899,671"
12/31/2020,3.88,3.96,1.68,3.04,???
12/31/2019,4.28,5.05,3.76,3.88,???
12/31/2018,4.00,4.58,3.44,4.28,???
12/29/2017,2.96,4.12,2.92,4.00,"71,440,772"
12/30/2016,2.88,3.70,2.56,2.96,"68,005,220"
12/31/2015,2.59,3.95,2.38,2.88,"39,404,304"
12/31/2014,2.19,3.56,1.56,2.59,"45,588,778"
12/31/2013,1.59,3.43,1.54,2.19,"45,967,229"
12/31/2012,0.72,1.60,0.72,1.59,"395,094,322"
11/08/2012,0.72,0.87,0.72,0.87,"7,618,704,431"
