???Wiik PCL (WIIK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,2.18,3.08,2.12,2.58,"14,325,070"
12/31/2020,1.25,3.24,0.87,2.18,???
12/31/2019,1.65,1.89,0.83,1.25,???
12/31/2018,3.27,3.36,1.57,1.65,???
12/29/2017,4.67,4.89,3.17,3.27,"4,568,254"
12/30/2016,2.49,5.01,2.33,4.67,"21,009,663"
12/31/2015,2.19,5.53,2.13,2.49,"9,505,481"
12/31/2014,1.41,2.74,1.27,2.19,"6,737,311"
12/31/2013,1.63,2.91,0.93,1.41,"3,737,554"
12/31/2012,0.82,1.75,0.78,1.63,"6,220,626"
12/30/2011,1.21,1.36,0.62,0.82,"2,245,597"
