???Wyncoast Industrial Park PCL (WIN) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.35,0.65,0.32,0.63,"2,227,838"
12/31/2020,0.40,0.46,0.25,0.35,???
12/31/2019,0.54,0.68,0.36,0.40,???
12/31/2018,0.50,0.76,0.45,0.54,???
12/29/2017,0.69,0.77,0.44,0.50,"2,021,368"
12/30/2016,0.63,0.93,0.39,0.69,"1,116,898"
12/31/2015,0.96,1.34,0.55,0.63,"4,827,312"
12/31/2014,0.76,1.57,0.66,0.96,"18,752,974"
12/31/2013,0.80,1.49,0.63,0.76,"14,845,644"
12/31/2012,0.36,0.89,0.33,0.80,"3,644,245"
12/30/2011,0.26,0.55,0.21,0.36,"4,101,336"
