???Workpoint Entertainment PCL (WORK) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,15.70,26.50,15.10,24.30,"5,628,588"
12/31/2020,14.00,18.10,5.30,15.70,???
12/31/2019,23.30,32.00,13.00,14.00,???
12/31/2018,84.25,85.50,22.80,23.30,???
12/29/2017,44.00,105.00,44.00,84.25,"2,171,253"
12/30/2016,44.00,47.00,27.75,44.00,"1,254,654"
12/31/2015,30.00,49.64,29.82,44.00,"763,544"
12/31/2014,18.93,35.72,14.29,30.00,"850,627"
12/31/2013,32.50,45.89,15.64,18.93,"1,154,796"
12/31/2012,8.93,32.50,8.86,32.50,"1,900,892"
12/30/2011,8.71,11.29,7.86,8.93,"347,623"
