???We Retail PCL (WR) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.35,0.35,0.35,0.35,"0,000"
12/31/2020,0.35,0.35,0.35,0.35,"0,000"
12/31/2019,1.84,1.84,0.33,0.35,"0,000"
12/31/2018,1.84,1.84,1.84,1.84,"0,000"
12/29/2017,1.84,1.84,1.84,1.84,"0,000"
12/30/2016,1.84,1.84,1.84,1.84,"0,000"
12/31/2015,1.84,1.84,1.84,1.84,"0,000"
12/31/2014,1.84,1.84,1.84,1.84,"0,000"
12/31/2013,1.84,1.84,1.84,1.84,"0,000"
12/31/2012,1.17,1.84,1.17,1.84,"0,000"
12/30/2011,1.17,1.17,1.17,1.17,"0,000"
