???XSpring Capital PCL (XPG) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,1.07,11.20,0.98,8.70,"41,879,401"
12/31/2020,0.76,1.11,0.43,1.07,???
12/31/2019,1.00,1.12,0.61,0.76,???
12/31/2018,1.21,1.33,0.98,1.00,???
12/29/2017,1.46,1.50,1.20,1.21,"3,477,731"
12/30/2016,1.22,1.60,1.05,1.46,"1,383,836"
12/31/2015,1.55,1.74,1.20,1.22,"864,635"
12/31/2014,1.36,1.95,1.26,1.55,"2,100,354"
12/31/2013,1.37,2.34,1.35,1.36,"10,867,931"
12/31/2012,1.15,1.71,1.15,1.37,"1,317,708"
12/30/2011,1.52,1.68,0.98,1.15,"1,065,764"
