???Yong Thai PCL (YCI) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,0.90,0.90,0.90,0.90,"0,000"
12/31/2020,0.90,0.90,0.90,0.90,"0,000"
12/31/2019,0.90,0.90,0.90,0.90,"0,000"
12/31/2018,0.90,0.90,0.90,0.90,"0,000"
12/29/2017,0.90,0.90,0.90,0.90,"0,000"
12/30/2016,0.90,0.90,0.90,0.90,"0,000"
12/31/2015,0.90,0.90,0.90,0.90,"0,000"
12/31/2014,1.30,1.31,0.65,0.90,"28,876"
12/31/2013,0.46,2.39,0.34,1.30,"542,023"
12/31/2012,0.62,0.66,0.36,0.46,"55,133"
12/30/2011,0.40,0.75,0.35,0.62,"185,102"
