???Yuasa Battery (Thailand) PCL (YUASA) Historical Prices
Date,Open,High,Low,Close,Volume
06/09/2021,14.80,20.70,14.70,18.20,"501,255"
12/31/2020,13.30,18.50,8.70,14.80,???
12/31/2019,9.80,17.50,9.70,13.30,???
12/31/2018,19.80,23.40,9.40,9.80,???
12/29/2017,28.25,31.25,19.60,19.80,"675,339"
12/30/2016,6.80,34.00,6.40,28.25,"3,238,515"
12/31/2015,5.80,10.10,5.20,6.80,"607,347"
12/31/2014,7.00,7.55,4.76,5.80,"41,647"
12/31/2013,10.60,12.40,6.70,7.00,"308,161"
12/31/2012,4.90,15.10,4.76,10.60,"3,388,980"
12/30/2011,3.72,6.60,3.06,4.90,"2,556,990"
